,london_p_#,similarity_score,zwickau,london
71,242,1.0,secunda pars quarte orientalis incipit ab achon et procedit contra orientem in latere australi castri sephet inde per litus maris ascendens montem seyr in latere septentrionali iuxta ciuitatem cedar usque in mesopotamiam syrie,de secunda parte quarta australis prima diuisio secunde partis australis incipit ab achon sicut omnes alie cui adiacet oppidum cayphas 4 leucis in pede montis carmeli et in lictore magni maris ultra torrentem cyson 1 leuca
72,67,1.0,uia occidentis hec autem linea ad litteram est uia illa de qua dicitur thobias 1 post uiam que ducit ad occidentem de regionibus dico supradictis que sunt ad orientem in ysaia uero dicitur uia maris transiordanem galilee gentium quia in littore maris procedit ab uno fine usque ad alium finem eius per hanc enim uiam negociatores de aram et de seyr et de mesopothamia et madyan ab oriente uenientes merces infinitas ducunt ab achon et reducunt in camelis qui habundant ualde in partibus illis,inde ad 3 leucas est cedar ciuitas gloriosa et firmo loco sita in monte suanir contra orientem et per hanc ciuitatem transit uia que ut dictum est supra transit per litus maris galilee et ducit ad occidentem sicut dicitur in thobia in ysaia autem uia ista uocatur uia maris transiordanem galilee gentium uia enim maris dicitur quia omnino precedit in litore maris transiordanem additur quia ducit ultra iordanem in regionem que dicitur aran galilee gentium additur quia in rei ueritate galilea gentium ibidem in iordane terminatur
73,73,0.9999999999999999,sanctus georgius de achon igitur procedendo contra orientem primo ad 5 leucas occurrit casale ualde bonum quod dicitur sanctus georgius ubi idem sanctus creditur fuisse natus et est situm inter montana phenicie in ualle supra modum pingui et amena et fertili que amenitas protenditur usque ad mare galilee et fuit uallis illa de tribu asser usque iuxta sephet et propter amenitatem eius ueraciter dici poterat de asser illud genesis asser pingwis panis eius prebens delicias regibus quod utique uerificatum est in sorte tribus huius inde contra austrum ad 4 leucas est naason de tribu neptalim de qua legitur in thobia,primo post accon ad 5 leucas est casale quod dicitur sangeor ubi idem sanctus creditur fuisse natus et est situm inter montana in ualle pingui ualde et fertili et amena que amenitas protenditur usque ad mare galilee et fuit uallis sortis aser usque iuxta sephet per 10 leucas et propter eius amenitatem ad litteram dici poterat illud gen aser pinguis panis eius et prebens delicias regibus quod utique uerificatum fuit in sorte tribus huius inde ad 4 leucas contra austrum fere sed declinando aliqualiter contra orientem est uilla naason de tribu neptalim in ualle sita de qua legitur in thobia
74,74,1.0,dotayn inde ad austrum ad 3 leucas est dothaim ubi ioseph inuenit fratres suos situm sub monte bethulie <ud> ad 1 leucam opidum ualde bonum amenum uineis et oliuetis et ficetis et pascuis ibidem adhuc in campo ostenditur cisterna ioseph et uia que ducit in egiptum de syria non longe distat a cisterna procedens inde per uiam dothaym et ad montana conscendens transit per planiciem galilee iuxta montem thabor per campum et uillam maggedo ascendens usque ad montem effraim uenit in ramathasophin et inde per terram philistim in egiptum per hanc ueniunt ysmahelite qui emerunt ioseph in eodem opido dotayn heliseus uallatus a syris duxit eos ad medium samarie que inde distat per bonam dietam nota tamen quod dothain non solum est uilla sed contracta ab eadem uilla sic dicta quia illi adiacet sita in terra campestri inter montes hinc inde non multum altos irrigua fontibus et ideo pascuosa et alendis pecoribus apta coniuncta est ualli sabe que uallis regis dicitur ubi melchisedech occurrit abrahe de syria reuertenti,inde ad 3 leucas contra austrum est dothaym ubi ioseph inuenit fratres suos situm sub monte bethulie ad 1 leucam opidum ualde amenum uineis oliuetis et ficubus habundans et pascuis pinguibus ibidem adhuc in campo ostenditur cysterna in qua fuit missus ioseph quam etiam ibi uidi iuxta uiam que de galaad ueniens coniungitur in bethsayda cum uia que de syria ducit in egyptum ascendens de dothaym iuxta montem bethulie et inde per campum esdrelon procedens sub monte thabor ad sinistram per campum magedo ascendit montem effraym uenit in ramatha sophim per gazam ducit in egyptum per hanc uiam uenerunt ysmahelite qui emerunt ioseph de ista uilla dothaym legitur 4 regum quod syri in ea uallauerunt heliseum qui eos inde duxit ad medium samarie que distat inde fere per 1 dietam nota tamen quod dothaym non solum est uilla sed etiam contracta ab ipsa uilla dicta quia illi ab antiquo adiacet sita in terra campestri inter montes hinc inde non multum altos irrigua fontibus et ideo pascuosa et alendis pecoribus apta
75,75,1.0,neptalim thobie de naason 2 leucis contra orientem de dotaym 3 leucis contra aquilonem neptalyn est ciuitas thobie nunc casale ualde modicum sed alto loco situm non longe a sephet nunc dicitur syrin,de nason 2 leucis contra orientem de dothaym 3 contra aquilonem est ciuitas neptalim de qua fuit thobias firmo loco ualde sita habet enim ab occidente montem altum ualde et penitus inaccessibilem nisi a parte orientis per breue spacium hanc puto tempore excidii secundum iosephum iocapatam dictam in qua idem iosephus obsessus fuit a romanis et captus ut ipse testatur nunc syrin dicitur et distat de sephet parum plus quam per leucam
76,76,1.0,bethsaida de neptalim 2 leucis contra orientem supra mare galilee est bethsaida ciuitas andree petri et phillippi nunc uix habet 6 domos iuxta uiam que ducit ad occidentem cui coniungitur uia que de syria ducit in egiptum et est sita uia ista in cornu maris galilee ubi sanctum ipsum mare curuari incipit ab aquilone in austrum,de neptalim per 2 leucas in angulo maris galilee ubi idem ab aquilone curuari incipit contra austrum sita est bothsaida ciuitas andree et petri et philippi nunc uix habet 6 domos iuxta uiam que de syria ducit in egyptum habuit antiquitus aqueductum de fluuio quem iosephus uocat paruum iordanem et medio loco inter ipsam et capharnaum ingreditur mare galilee huius uestigia adhuc apparent
77,64,1.0000000000000002,magdalum inde 2 leucis contra meridiem magdalum castellum maria magdalene similiter in littore maris situm cuius domum ibidem uidi et intraui distat a bethulie et dothaym 2 leucis contra uulturnum fere ameno loco situm et habet a parte occidentis et aquilonis planiciem magnam et amenam et pascuosam hinc inde irrigua fontibus et ideo pascuosa et alendis pecoribus apta et nota quod dothaym non solum est uilla sed etiam cognominata ab ipsa uilla quia illi ab antiquo adiacet et est terra sita inter montes competenter altos de bethsaida contra orientem 1 leuca supra litus maris est unus locus ubi stetit ihesus in littore post resurrectionem quando dixit pueri numquid pulmentarium habetis cuius uestigia uidi lapidi impressa in die beati augustini cum ibi essem sed postea in festo annunciationi cum redissem sarraceni hunc lapidem omnino tulerant super hac est mons ubi pauit 5000 hominum de 5 panibus et 2 piscibus ut supra scriptum est,de fonte isto ad 20 passus supra mare galilee est locus ubi post resurrectionem suam stetit ihesus in litore 7 discipulis piscantibus dicens eis pueri numquid pulmencarium habetis ubi eciam in lapide uidi tria uestigia domini ihesu lapidi impressa in die beati augustini cum ibi essem sed cum postea in festo annunciationis redissem sarraceni lapidem illum detulerant de loco illo
78,65,1.0,capharnaum de loco isto qui uocatur mensa cum tabula ad ½ leucam est capharnaum ciuitas quondam gloriosa sed nunc est ualde uilis uix habens 6 domos pauperum piscatorum et est inpletum de ea uerbum domini et tu capharnaum si in celum ascenderis in infernum detraheris ante capharnaum in uia regia que ducit ad occidentem que eciam uia maris dicitur est usque hodie locus ubi sedit matheus ad theoloneum in capharnaum uero fuit domus petri in qua sanauit dominus socium eius in ea sanauit paraliticum per tegulas ante se dimissum item seruuum centurionis item filium reguli de ista ad 1 leucam contra orientem iordanis influit mare galilee,inde ad 10 passus est locus ubi egressi discipuli de naui uiderunt prunas positas et piscem superpositum et panem de isto loco ad 1 leucam contra orientem est capharnaum ciuitas quondam gloriosa sed nunc est ualde uilis uix habens 7 domos pauperum piscatorum et est uere impletum in ea illud uerbum domini ihesu et tu capharnaum si in celum ascenderis usque in infernum de mergeris
79,66,0.9999999999999999,corrosaym in cuius littore uidentur adhuc ruine ciuitatis corrosaim supra mare ad 1 leucam de illo loco incipit ascensus montis seyr siue introitus ydumee,de isto loco ad 2 leucas iordanis fluuius mare galylee ingreditur in cuius ulteriori litore uidentur adhuc ruine ciuitatis corozaym supra mare galylee de loco isto scilicet corozaym ad 1 leucam incipit ascensus montis suanir siue seyr secundum quosdam et introitus ydumee
80,69,1.0,de ciuitate corrosaim et ostio fluminis iordanis 4 leucis contra aquilonem est switha ciuitas unde in iob baldach swithes dicebatur iuxta istam est pyramis beati iob in planioribus locis iuxta ciuitatem cedar consueuerunt conuenire sarraceni de aran et mesopothamia et haman et syria de moab et amon et de tota terra orientali circa fontem phyalam ad nundinas toto tempore estatis propter locorum amenitatem et erigere tentoria diuersorum colorum que in ciuitate cedar existentibus in monte pulcrum ualde generant prospectum que tabernacula cedar appellantur in canticis,de ciuitate corozaym et ostio fluuii iordanis 4 leucis contra aquilonem est suecha ciuitas unde in iob dicitur baldach suithes iuxta eam est pyramis beati iob ad orientem in planioribus locis sub ciuitate ista uersus ciuitatem cedar consueuerunt conuenire sarraceni de aran et mesopothamia et hamon et syria de moab et amon et tota terra orientali circa fontem fiale de quo dictum est supra et habere nundinas toto tempore estatis propter locorum amenitatem et erigere tentoria diuersorum colorum que in ciuitate cedar existentibus in monte pulchrum generant perspectum ualde que tabernacula cedar in canticis appellantur
81,70,1.0,de ciuitate corrozaim 4 leucis contra orientem cedar ciuitas est in monte sita quam iosephus appellat camelam pro eo quod mons in quo sita est in modum cameli est disponitus in principio longior in modum capitis et colli cameli in medio deorsum habensque gibbum et infine sicud cauda declinans,de ciuitate corozaym 4 leucis contra orientem est ciuitas cedar in monte alto sita quam iosephus appellat camelam pro eo quod mons in quo sita est in modum cameli est dispositus in principio longior in modum colli et capitis cameli in medio gibbum habens ut dorsum et incipiens in fine in modum caude declinare
82,71,1.0,hic nota quod tota terra que est ultra iordanem in littore eius orientali appellatur traconitidis regio siue planicies libani usque ad montem hermon siue bosra litus uero iordanis occidentale dicitur yturea siue galilea gencium siue kabul siue decapolis et uia maris transit per medium eius ab achon scilicet procedens per uallem terre asser que nunc sancti georii dicitur in sinistro habens ciuitatem sephet et per litus maris usque cedar ad montana consurgens traconitidis regionis unde dicit quedam glossa uir erat in terra <hus> nomine hus iob glossa aran pater sirorum qui condidit damascum et siriam genuit hus conditorem traconitidis regionis<unde dicit quedam glossa> hic inter celessiriam et palestinam tenuit principatum que terra ab eo hus est dicta unde uir erat in terra hus siue husicide regione hanc tenuit phillippus tetrarcha sicud et ytuream que est citra iordanem ad occidentem usque ad montes sydoniorum et tyriororum et achonensium que pheniceam ab ea diuidunt et terminantur ab aquilone in lybano in iordane ab oriente in mari galilee ad meridiem in montibus phenicie ad occidentem sicud dictum est,hic nota quod sicut dictum est supra tota terra ultra iordanem in litore eius orientali appellatur traconitis regio siue planicies lybani usque ad montem hermon et bosra circa iordanem uero tota terra que est a sophet usque ad litus iordanis occidentale appellatur galilea gentium siue ythurea siue kabul siue pentapolis et uia maris transit per medium eius ab accon scilicet procedens per uallem terre aser que nunc sancti georgii appellatur in sinistro habens ciuitatem sephet et per litus maris usque cedar ad montana scilicet traconitidis regionis supra quam est terra aram unde dicit quedam glossa uir erat in terra hus nomine iob glossa aram pater syrorum qui condidit damascum et syriam genuit hus conditorem traconitidis regionis hic inter celessyriam et palestinam tenuit principatum que terra ab eo terra hus est dicta unde uir erat in terra hus siue in regione husitide hanc habuit philippus tetracha sicut et ythuream que est circa iordanem ad occidentem usque ad montes sydoniorum et tyriorum et acconensium qui pheniciam ab ipsa diuidunt tam in ista tercia diuisione quam in precedenti secunda et terminatur in lybano ad aquilonem in iordane ad orientem in mari galilee ad meridiem in montibus phenicie ad occidentem
83,149,1.0,mare galilee habet in longitudine 140 stadia que faciunt miliaria theutonica 10 et quartum in latitudine 40 stadia id est miliari teuthonica 5 fere id est unius quarta,iosephus dicit quod mare mortuum habet in longitudine 586 stadia quod potius credo esse uerum quia fere sunt 15 diete ab illo usque ad mare rubrum creditur tamen a quibusdam continuari cum mari rubro per aquas illas que in exodo aque marach dicuntur et idem dixit mihi patriarcha lerusalemitanus grecus qui sepe in partibus illis fuit in latitudine uero habet 150 stadia
84,67,1.0,cedar inde ad tres leucas est cedar ciuitas gloriosa et firmo loco sita in monte seyr contra orientem et per hanc ciuitatem transit uia que ut dictum est supra transit per litus mare galilee et ducit ad occidentem,inde ad 3 leucas est cedar ciuitas gloriosa et firmo loco sita in monte suanir contra orientem et per hanc ciuitatem transit uia que ut dictum est supra transit per litus maris galilee et ducit ad occidentem sicut dicitur in thobia in ysaia autem uia ista uocatur uia maris transiordanem galilee gentium uia enim maris dicitur quia omnino precedit in litore maris transiordanem additur quia ducit ultra iordanem in regionem que dicitur aran galilee gentium additur quia in rei ueritate galilea gentium ibidem in iordane terminatur
85,79,1.0,mons nota quod terra que est a parte australi huius uie usque ad possessionem dimidie tribus manasse que erat in basan et edrayn ciuitatibus et turris ogis regis basan dicitur mons seyr siue ydumea siue etiam edom et habitauit in ea esau et posteri eius usque in presentem diem sed appellantur communiter sicud alii sarraceni quia nec lingua nec habitu nec ritu distant ab eis,et nota quod tota terra ista ultra mare galylee montuosa est ualde ut mihi uidetur quia eam non intraui et erat de regno regis basan pro parte et pro parte aliqua dicitur mons seyr quia esau ibi habitauit ut statim dicetur dicebatur insuper alibi mons suanir quia ille erat in ea item dicebatur mons hermon qui similiter illuc erat et ita pro diuersis locis et montibus diuersis erat terra ista nominibus appellata tota tamen cessit in partem dimidie tribus manasse sed nunquam totam eam possedit quia filii esau habitant in ea pro parte usque in presentem diem appellantur tamen comuniter sarraceni quia nec ritu nec lingua discrepant ab eis nisi forte tonsura et uestitu
86,80,1.0000000000000002,est tamen alios mons seir siue edon contra desertum maris rubri de quo dicitur genesis 33o quod chodorlaomoris et alii reges cum eo percusserunt horreos qui habitant in monte seyr item [in] deuteronomio secundo transibitis per terminos fratrum uestrorum filiorum esau qui habitant in seyr et timebunt uos certum est autem quod ad terminos huius montis seir qui est supra mare galilee numquam accesserunt israel cum exirent de egipto quia ista terra coniungitur cum damasco quo unquam peruenerunt alius mons seyr coniungitur cum deserto pharan quem longo tempore circuierunt et de illo dicitur deuteronomius 3o in monte seyr olim habitauerunt horrei quibus eiectis atque deletis habitauerunt filii esau pro eis in isto autem monte seyr siue ydumea habitabat esau eo tempore quo iacob rediit de mesopothamia syrie sicud scriptum est genesis 11 quod esau qui cum patre absque dubio habitabat in bersabee assumptis omnibus que habebat abiit in alteram regionem nulli dubium quin ad istam unde et iacob redeunti de mesopothamia occurrit iuxta uadum iaboth quod ab austro adiacet terre ille et genesis dicitur 33o quod cum iacob transiui<si>sset phanuel ortus est ei sol et ibi eleuatis oculis uidit uenientem esau qui locus scilicet phanuel ostenditur hodie eodem nomine non longe a sochot ultra iordanem ad orientalem plagam ubi legitur iacob inmediate post uenisse et est locus idem in pede montis seyr qui adiacet mare galilee in quo habitauerunt horrei pro quibus etiam nunc habitant filii esau sicut dictum est per plures dietas distat a loco illo a quo non poterat uenisse esau pro fratre suo uidendo quia multum distat hec diuersitas filiorum esau et habitationis eorum uidetur mihi ex eo accidisse quia esau duplices habebat uxores et ita filii quos habuit de filia ysmahel sorore nabaioth habitabant in monte seyr qui est iuxta desertum pharan in quo legitur ysmahel et sui posteri fuisse conuersati filii uero alterius uxoris cum esau transierunt in alium montem seyr qui imminet mari galilee,hoc tamen sciendum quod adhuc est alius mons seyr siue edam contra desertum maris rubri de quo dicitur genesis 24 quod codorlahomor et alii reges cum eo percusserunt thorreos qui habitabant in monte seyr qui tunc utique non dicebatur mons seyr quia esau qui seyr dictus est et a quo mons iste est appellatus non dum erat natus unde per antycipationem creditur esse dictum item deut 2 transibitis per terminos fratrum uestrorum filiorum esau qui habitant in seyr et timebunt uos hoc primo dictum fuit filiis israel uenientibus de egypto cum essent in cades barne uenturis ad montem seyr qui est iuxta cades barne ubi tunc erant sed certum est quod ad terminos huius montis seyr qui est supra mare galilee numquam accesserunt filii israel cum exirent de egypto quia iste mons seyr coniungitur cum damasco quo nunquam peruenerunt alius autem mons seyr de quo ibi loquitur coniungitur cum deserto faran quem longo tempore circuierunt filii israel prohibiti a domino eum intrare et de illo monte seyr dicitur etiam deut 2 in monte seyr olim habitauerunt chorrei quibus eiectis atque deletis habitauerunt filii esau pro eis in isto autem monte seyr qui est iuxta mare galylee et montem galaad habitabat esau eo tempore quo iacob rediit de mesopothamia syrie dicitur enim in genesis quod esau qui habitabat cum patre suo absque dubio in bersabee assumptis omnibus que habebat abiit in alteram regionem nulli dubium quin ad istam et separatus est a fratre suo unde et iacob redeunti de mesopothamia occurrit iuxta uadum iabech quod ab austro adiacet terre isti et genesis 33 dicitur quod cum lacob transiuisset phanuel ortus est ei sol et infra eleuans autem oculos uidit uenientem esau qui locus scilicet phanuel ostenditur hodie eodem nomine non longe a sophet ultra iordanem ad orientalem plagam ubi legitur postea immediate uenisse et est locus idem in montis pede seyr qui adiacet mari galilee cum ille mons seyr in quo olim habitauerunt chorrei pro quibus nunc ibidem habitant filii esau per plures dietas distet a loco isto a quo non poterat uenisse subito esau pro fratre suo uidendo quia longe ultra mare mortuum distat fere per 10 dietas hec diuersitas filiorum esau uidetur mihi accidisse et habitationum diuersitas ex eo quod esau plures habuit uxores et ita filii quos habuit de filia ismahel sorore nabayoth habitauerunt in monte seyr qui est iuxta desertum pharan in confinio illo ubi habitauit socer eius ysmael de quo dicitur gen quod factus est uir gnarus sagittandi et moratus in solitudine pharan ubi legitur ipse et eius posteri conuersati duxit autem esau alias uxores absque hiis quas prius habuerat inter quas una erat colibama filia ane filii sebeon euehi iste euehus filius erat chanaan et habitabat absque dubio in partibus scitopoleos in galilea iuxta montes gelboe non longe a mari galilee cui loco uicinus est ualde mons alius seyr in quo habitabat tempore illo cum iacob rediret de mesopothamia et ita de facili ibi poterat occurrere fratri suo quod et textus tacite uidetur innuere dicitur enim genesis quod recedente laban a iacob ille pergebat cepto itinere et obuios habuit angelos dei et dixit castra dei sunt hec et appellauit nomen loci manaym i[d est] castra qui locus est hodie sub monte galaad in tribu gad et de loco illo misit nuncios ad fratem suum qui ibidem etiam ad eum redierunt unde et infra dicitur quod seperauit munera fratri suo de gregibus suis et misit per manus nuciorum et dicitur ibi precesserunt itaque munera ipse uero adhuc mansit in castris hoc est in manaym nocte illa cumque mane surrexisset transiuit uadum iaboch qui etiam hodie ostenditur ibi et ecce uir luctabatur cum eo et cetera et infra uocauitque nomen loci illius phanuel qui locus est hodie super torrentem iaboch similiter in tribu gad ortusque est ei sol cum transisset phanuel et sequitur leuans autem oculos uidit uenientem esau et cetera ecce loca nota ubi uenit ad eum esau que sunt omnino uicina monti isti seyr qui est supra mare galilee
87,82,1.0,est autem tota terra illa montis seyr siue ydumea a ciuitate bosra que est coniuncta planiciei lybani non longe a ciuitate cedar usque ad montem gallad et terram 2 tribuum et dimidie montuosa nimis et alta ualde incipiunt in primo littore maris galilee surgere montes isti ita ut in pluribus locis nunc possunt aliquis applicare propter preruptum montium et uidetur semper mons altior monte quousque uisus hominis se extendit terminaturque terra illa in sorte tribus gad que possedit terram ogis regis basan et montem galaad contra illum locum ubi non longe a montibus gelboe iuxta ciuitatem bersan iordanis egreditur mare galilee et de <incitus> inceps est litus iordanis orientale duarum tribuum et dimidie usque ad campestria moab supra iordanem sub monte abarym siue pasca contra iericho ultra uero uersus <uero> austrum procedendo est situm idem usque ad finem iordanis et inde per totam longitudinem maris mortui usque ad montem regalem qui antiquitus petra deserti dicebatur de regno moab postea sequitur terra filiorum amon in eodem litore quam diu durat mare mortuum et sic circuithtus eius <h> australe usque ad montem seyr alium qui coniunctus est deserto pharan usque cades barne habens a latere desertum synai,terminatur autem mons iste in sorte tribus gad in monte galaad contra locum illum ubi non longe a montibus gelboe iuxta ciuitatem bethsan iordanis fluuius mare galilee egreditur et deinceps litus iordanis orientale est duarum tribuum et dimidie usque ad campestria moab sub monte abarim in sechim contra iericho ultra uero contra austrum procedendo in litore eodem iordanis est terra moab usque ad petram deserti que nunc krach dicitur postea pars quedam terre amon succedit quamdiu durat mare mortuum et sic circuit litus eius australe usque ad montem seyr illum qui coniunctus est deserto pharan iuxta cades barne habens a latere desertum sanay et mare rubrum
88,83,1.0,tertia pars quarte orientalis cana galilee in tertia parte orientalis quarte contra eurum post de achon ad 4 leucas est chana galilee ubi conuertit dominus aquas in uinum et ostenditur hodie locus in quo steterunt 6 ydrie et interclinium ubi erant mense sunt tamen hec loca sicud fere omnia in quibus dominus est aliquid operatus sub terra et descenditur ad ea in terra per multos gradus similiter est locus annunciacionis et natiuitatis sicud est in chana galilee et plura alia que sub terra ostenduntur cuius aliam rationem non inuenio nisi quod per frequentes destructiones ruine sunt super terram exaltate et sic eis qualitercumque complanetis alia edificia sunt desuper locata christiani uero habentes deuotionem uisitandi loca sancta uolentes ad uera loca ubi res est gesta peruenire oportebat ut erudarerent loca ad gradus faciendos ut sic ad ea peruenirent et ideo omnia loca ista quasi in criptis esse uidentur cana galilee autem ab aquilone habet montem altum et rotundum qui uidetur longe in mari et est in decliui latere eius sita sub se habet campum et planiciem ualde pulcram et fertilem quam iosephus carmeleum appellat quia extenditur usque ad carmelum et inde in sephorum per multa miliaria et crescit ibi lana succida et uinum delicatum et oliueta et uineta multa nimis uinum etiam loci istius excellit alia uina terre istius,secunda diuisio quarte orientalis in secunda diuisione quarte orientalis primo orientalis accon procedendo contra euroaustrum ad 4 leucas de accon est chana galilee ubi dominus conuertit aquas in uinum et ostenditur ibidem hodie locus ubi steterunt 6 ydree et triclinium in quo erant mense sunt tamen hec loca sicut omnia alia fere in quibus dominus est aliquid operatus sub terra et descenditur ad ea in criptam per plures gradus sicut est locus annunciationis natiuitatis et iste in chana galilee et plura alia que ostenduntur sub terra cuius rei aliam non inuenio causam nisi quia per frequentes destructiones ecclesiarum in quibus erant loca ipsa ruine sunt supra terram exaltate et eis sic qualitercumque conplanatis alia edificia desuper sunt constructa christiani uero habentes deuotionem uisitandi loca sancta et uolentes ad uera loca ubi res gesta est peruenire oportuit ut emundarent loca ad gradus faciendos ut sic ad ea peruenirent et ideo fere omnia loca ista quasi in criptis uidentur esse chana galilee ab aquilone montem habet altum et rotundum et est in decliui latere eius sita sub se uero contra austrum habet campum et planiciem ualde pulchram quam iosephus appellat carmelion usque in sephorum fertilem nimis et amenum ualde
89,85,1.0,beelma de chana galilee uersus orientem est beelma ad 5 leucas de qua legitur in iudith quod holofernes uadens contra bethuliam uenit iuxta eam et sic oportebat quia propter locorum difficultatem uia alia esse non poterat est autem uilla ista in contracta illa uocatur dotaym distans ab ipsa per leucam et plus contra occidentem et sunt ibi ruine magne cuius ruine adhuc ostendunt eam magnam fuisse de ipsa etiam fuit eliseus propheta orifehler textmarke nicht definiertundus,de roma ad 1 leucam et fere dimidiam contra orientem est uilla grandis quondam ut uidetur nomine abelina de qua legitur in iudith quod holofernes uadens contra bethuliam uenit secus eam et sic oportebat quia propter difficultatem locorum uia alia illuc esse non poterat de hac uilla creditur oriundus fuisse heliseus propheta sicut dicitur 3 regum 19 et est in constracta illa que uocatur dothaym distans de ipsa uilla dothaym per modicam leucam contra occidentem sunt in ea columpne multe marmoree et ruine magne que omnia ostendunt eam fuisse gloriosam et est in loco alto et firmo sita
90,84,1.0,de chana galilee 4 leucis contra meridiem uia que sephore ducit thiberiadem est uilla quedam dicta ruina ubi thobias propheta fuit tumulatus qui de terra ista natus fuit scilicet de geth que est in ciphel sicud enim appellatur terra ista uilla ista sita est in monte qui de nazareth ueniens predictam uillam includit carmelam ut dictum est supra,de chana galilee 2 leucis contra meridiem fere in uia que de sephoro tyberiadem ducit est uilla quedam roma nomine in qua ionas propheta dicitur sepultus fuisse uilla ista sita est sub monte qui nazareth ueniens includit predictum uallem carmeleon a parte australi
91,68,1.0,inde ad ½ leucam est dothaim de qua dictum est supra,ab isto autem loco ubi iordanis mare influit galilee usque cedes neptalim sunt 4 leuce et medio loco inter eas est alia medietas aquarum maron de qua dictum est supra transit autem iordanis per medium huius uallis aquarum maron et egrediens de ipsa dirigit cursum suum contra orientem primo deinde contra austrum et sic mare ingreditur galilee
92,86,1.0,mons bethulie inde ad 3 leucis est mons bethulie ubi iudit occidit holofernem,de abelma ad 1 leucam bonam est mons bethulie ubi iudith occidit holofernem qui mons per totam fere galileam uidetur pulcher ualde et munitus sunt in eo adhuc plura edificia et ruine plures in fine montis adhuc castellum pro tuitione montis ibi factum ibi adhuc sunt indicia castrorum holofernis in campo prope dothaym et uallis in qua se lauit iudith et quam girauit in bethuliam redeundo hec quantum potui inuestigaui diligenter mansi enim in dothaym una nocte
93,86,0.9999999999999999,qui mons per totam fere galileam uidetur pulcher ualde et firmus sunt in eo adhuc pluria edificia et ruine multe sed sunt omnia deserta ibi uidi locum castrorum holofernis et uallem in qua lauit se iudith et quam gyrauit in bethuliam redeundo diligenter inuestigaui mansi enim in dothaim sub monte bethulie 1 nocte,de abelma ad 1 leucam bonam est mons bethulie ubi iudith occidit holofernem qui mons per totam fere galileam uidetur pulcher ualde et munitus sunt in eo adhuc plura edificia et ruine plures in fine montis adhuc castellum pro tuitione montis ibi factum ibi adhuc sunt indicia castrorum holofernis in campo prope dothaym et uallis in qua se lauit iudith et quam girauit in bethuliam redeundo hec quantum potui inuestigaui diligenter mansi enim in dothaym una nocte
94,87,1.0,thiberias de bethulia ad 5 leucas et plus supra mare galilee est tyberias ciuitas a qua idem mare thyberiadis dicitur olim cenereth dicta a qua etiam mare cenereth dictum aliquociens inuenitur hec ab herode tetrarcha instaurata tyberias ad honorem tyberii cesaris est dicta est autem longa ualde per longum in littore maris sita etiam sunt ibi balnea medicabilia et terra in circuitu fertilis et pinguis et crescunt ibi palme multe,de bethulia ad 2 leucas bonas supra mare galilee inter orientem et austrum est tyberias ciuitas gloriosa galilee a qua mare galilee mare tyberiadis dictum aliquociens inuenitur hec antiquitus dicebatur ceuereth et ab ea mare ce <dicob> uereth dicebatur quod postmodum ab herode tetrarcha galilee instaurata ad honorem tiberii cesaris est tyberias appellata est autem longa ualde iuxta litus maris per longum sita et sunt in eius australi fine balnea medicabilia et ruine multe et magne palme multe crescunt ibi et sunt ibi uinee et oliueta et ficeta et terra pinguis ualde
95,88,1.0,hic nota quod in hac ciuitate tyberiade terminatur regio que decapolis appellatur dicit enim dominus iacobus de uitriaco patriarcha iherosolimitanus et apostolice sedis legatus in libro quem de conquesta huius terre fecit sic regionis decapoleos fines siue limites sunt mare galilee ab oriente sydon magna ab occidente et hec est latitudo eius in longitudine uero protenditur a ciuitate tyberiade et toto littore aquiloni maris galylee usque in damascum et dicitur decapolis a 10 ciuitatibus principalibus in ea sitis que sunt thiberias thephet cedes neptalim asor cesarea phillippi capharnaum quam iosephus appellat iuliam iocapatha bethsaida corrosaym et gerasa sunt tamen in ea alie plures,hic nota quod in hac ciuitate tyberiade scilicet terminatur regio que decapoleos appellatur dicit enim dominus lacobus de uitriaco patriarcha lerusalemitanus et romane sedis legatus in libro suo quem de conquesta huius terre fecit sic regionis decapoleos fines siue extremitates sunt mare galylee ab oriente et sydon magna ab occidente et hec est latitudo eius in longitudine uero procenditur a ciuitate tyberiadense et toto litore aquilonali maris galilee usque in damascum et dicitur decapolis a decem ciuitatibus principalibus in ea sitis que sunt tyberias sephet cedes neptalim asor cesarea philippi capharnaum quam iosephus iuliam appellat iocapata bethsayda catozaym et bethsan que etiam scitopolis dicebatur sunt tamen in ea adhuc plures alie preter istas
96,89,1.0,nota tamen quod adhuc terra illa diuersis nominibus appellatur sicud dictum est supra ad tale signum m et non continet ista multo plus quam dietam et dimidiam et in longum uel in latum,hoc tamen nota quod nihilominus terra ista diuersis adhuc nominibus appellatur dicitur enim ut supradictum est nunc ythurea nunc traconitis nunc planicies lybani nunc terra roab nunc kabul nunc galylea gentium nunc galilea superior et semper est eadem regio licet diuersis nominibus appelletur et modo continet multo amplius quam dietam et dimidiam in longum et in latum neque uidetur mihi quod longitudo excedat latitudinem nisi forte in modica quantitate
